FECHA,TMAX,TMIN,NOMBRE
19012022,27,21.9,ORAN AERO
18012022,32.6,23.2,ORAN AERO
17012022,42,24.2,ORAN AERO
16012022,40.2,24.2,ORAN AERO
15012022,40.6,19.9,ORAN AERO
14012022,40.4,21.3,ORAN AERO
13012022,40,20.8,ORAN AERO
12012022,40,23,ORAN AERO
11012022,39.2,23.4,ORAN AERO
10012022,38.6,21.5,ORAN AERO
9012022,35.5,24.6,ORAN AERO
8012022,34.6,25.9,ORAN AERO
7012022,35.4,23.9,ORAN AERO
6012022,35,24.2,ORAN AERO
5012022,33.9,23.4,ORAN AERO
4012022,36.6,21.5,ORAN AERO
3012022,38.2,24.9,ORAN AERO
2012022,38.8,23.5,ORAN AERO
1012022,41.1,23,ORAN AERO
31122021,39.5,26.1,ORAN AERO
30122021,40,23.4,ORAN AERO
29122021,36.5,22.9,ORAN AERO
28122021,33.9,24.8,ORAN AERO
27122021,36.6,20.2,ORAN AERO
26122021,36,19.9,ORAN AERO
25122021,31.8,23.2,ORAN AERO
24122021,31.4,23,ORAN AERO
23122021,26.8,21.2,ORAN AERO
22122021,36.8,23.4,ORAN AERO
21122021,35.7,21.4,ORAN AERO
20122021,34,23.5,ORAN AERO
19122021,39.7,21.1,ORAN AERO
18122021,38,20.9,ORAN AERO
17122021,36,21.9,ORAN AERO
16122021,31.9,21.9,ORAN AERO
15122021,27,21.4,ORAN AERO
14122021,31,19.9,ORAN AERO
13122021,33.5,21.3,ORAN AERO
12122021,37.6,21.4,ORAN AERO
11122021,33,21.6,ORAN AERO
10122021,34.5,22.5,ORAN AERO
9122021,36,25.1,ORAN AERO
8122021,33.3,23.9,ORAN AERO
7122021,30.5,23,ORAN AERO
6122021,33,22.5,ORAN AERO
5122021,27.5,23.2,ORAN AERO
4122021,31.6,22.4,ORAN AERO
3122021,36.9,25.4,ORAN AERO
2122021,37.4,24.1,ORAN AERO
1122021,36.2,19.9,ORAN AERO
30112021,35,17.1,ORAN AERO
29112021,31.1,18,ORAN AERO
28112021,31.8,21.9,ORAN AERO
27112021,37,23.4,ORAN AERO
26112021,36,22.9,ORAN AERO
25112021,35.8,22.9,ORAN AERO
24112021,30.6,21.5,ORAN AERO
23112021,31,22,ORAN AERO
22112021,39,22.6,ORAN AERO
21112021,37,19.3,ORAN AERO
20112021,34.6,18.1,ORAN AERO
19112021,32.5,17.2,ORAN AERO
18112021,28.3,12.9,ORAN AERO
17112021,18.4,12.4,ORAN AERO
16112021,30.4,18.3,ORAN AERO
15112021,34,19.7,ORAN AERO
14112021,29.8,20.7,ORAN AERO
13112021,37.2,20.9,ORAN AERO
12112021,32.6,21.3,ORAN AERO
11112021,32,18.1,ORAN AERO
10112021,27,18.5,ORAN AERO
9112021,32,20.6,ORAN AERO
8112021,31,18.3,ORAN AERO
7112021,25.8,16.8,ORAN AERO
6112021,22.4,12.4,ORAN AERO
5112021,32.6,14.4,ORAN AERO
4112021,39.6,20.8,ORAN AERO
3112021,28.5,18.5,ORAN AERO
2112021,31.7,20.5,ORAN AERO
1112021,36.5,21.1,ORAN AERO
31102021,37,22.8,ORAN AERO
30102021,37,21.3,ORAN AERO
29102021,41.6,22.5,ORAN AERO
28102021,39.1,17.3,ORAN AERO
27102021,38.5,17,ORAN AERO
26102021,37.5,13.4,ORAN AERO
25102021,36.4,15.4,ORAN AERO
24102021,33,19.9,ORAN AERO
23102021,36.8,19,ORAN AERO
22102021,38,16.9,ORAN AERO
21102021,36.5,15.1,ORAN AERO
20102021,35,17.1,ORAN AERO
19102021,30.3,18,ORAN AERO
18102021,29,16.9,ORAN AERO
17102021,30.6,17.1,ORAN AERO
16102021,25,15.4,ORAN AERO
15102021,28.2,16.6,ORAN AERO
14102021,36,21.4,ORAN AERO
13102021,38,20.4,ORAN AERO
12102021,34.7,22.4,ORAN AERO
11102021,31.8,18.9,ORAN AERO
10102021,28.8,17.7,ORAN AERO
9102021,30.5,21.1,ORAN AERO
8102021,33.2,16.6,ORAN AERO
7102021,29.1,18.9,ORAN AERO
6102021,30.4,14.4,ORAN AERO
5102021,28,15.6,ORAN AERO
4102021,22.8,12.5,ORAN AERO
3102021,24.7,13.2,ORAN AERO
2102021,32,19.2,ORAN AERO
1102021,27,19.6,ORAN AERO
30092021,33.5,20.2,ORAN AERO
29092021,29.5,20.1,ORAN AERO
28092021,33,22.4,ORAN AERO
27092021,37.3,18.1,ORAN AERO
26092021,36,13.6,ORAN AERO
25092021,33.4,11.8,ORAN AERO
24092021,30.8,12.7,ORAN AERO
23092021,29.5,16.8,ORAN AERO
22092021,23.9,15.6,ORAN AERO
21092021,23.8,16.5,ORAN AERO
20092021,33.5,20.5,ORAN AERO
19092021,36.4,16.3,ORAN AERO
18092021,33.4,13.8,ORAN AERO
17092021,30.1,10.5,ORAN AERO
16092021,28,14.9,ORAN AERO
15092021,25,14.4,ORAN AERO
14092021,26.8,15.2,ORAN AERO
13092021,34.2,15.4,ORAN AERO
12092021,33.4,13.9,ORAN AERO
11092021,31.2,9.7,ORAN AERO
10092021,29,7.9,ORAN AERO
9092021,24.5,14.6,ORAN AERO
8092021,24.5,17.4,ORAN AERO
7092021,31,20.4,ORAN AERO
6092021,33.5,21.5,ORAN AERO
5092021,29.5,16.4,ORAN AERO
4092021,31.5,20.7,ORAN AERO
3092021,26.9,20.2,ORAN AERO
2092021,34,18.9,ORAN AERO
1092021,37,17.8,ORAN AERO
31082021,36.7,17.5,ORAN AERO
30082021,32.6,13.1,ORAN AERO
29082021,30.8,10.2,ORAN AERO
28082021,29,7.9,ORAN AERO
27082021,27.4,5.5,ORAN AERO
26082021,25.5,5.7,ORAN AERO
25082021,22.4,12.9,ORAN AERO
24082021,23,12.6,ORAN AERO
23082021,29,12.1,ORAN AERO
22082021,34.5,11.3,ORAN AERO
21082021,25.6,16.7,ORAN AERO
20082021,30.4,14.9,ORAN AERO
19082021,36.9,14.7,ORAN AERO
18082021,35.4,12.1,ORAN AERO
17082021,33.5,10.6,ORAN AERO
16082021,29.5,6.5,ORAN AERO
15082021,25.3,6.6,ORAN AERO
14082021,23.8,5.1,ORAN AERO
13082021,22,4,ORAN AERO
12082021,21.8,6.6,ORAN AERO
11082021,17.2,11.1,ORAN AERO
10082021,17.7,11.6,ORAN AERO
